FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,56419454,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I have felt less depressed,I would like to have more of: Relaxed obligations to social commitments,I saw a story about a: superior focus,I'm finding this app sort of helpful,2/14/2019,447
Autistica - Adjustments,7,86397034,I'm always asked to shake hands of clients but I don’t like to touch other people,I enjoyed my work this week,I would like to have more of: A team culture of not eating lunch at desks,I watched a film about: superior focus,I'm finding this app sort of helpful,2/14/2019,448
Autistica - Adjustments,7,41455969,Communication is not happening the way I have requested,It's so frustrating because I feel that I am close to success but it never really happens,I have tried the following: Work away from fire doors (which slam shut),I saw a story about a: a cyber hacker,I think there has been enough research on younger populations,2/14/2019,449
Autistica - Adjustments,7,23394144,My manager sucks,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have requested this: A team culture of quieter lunchtime conversations,My friend told me about another friend who said that:  difficulty in switching between tasks,I'm finding this app sort of helpful,2/14/2019,450
Autistica - Adjustments,7,21326904,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I have reduced the arguments I have with people,Some things which I have tried are: Specifying clear action points in emails so that recipients understand what is being asked of them,I saw a story about a: superior focus,I think there has been enough research on younger populations,2/14/2019,451
Autistica - Adjustments,7,44980497,I was reallocated a new desk even though I liked my old desk,I was successufl in extending my contract,I've not had much success asking for the following: Access to senior mentoring,I saw a story about a: a cyber hacker,Visualisations are nice,2/14/2019,452
Autistica - Adjustments,7,38982647,My manager sucks,I have felt less depressed,What has really helped is: Colleagues refrain from wearing strong perfumes if asked,I saw a story about a: excellent autistic creativity,I think there has been enough research on younger populations,2/14/2019,453
Autistica - Adjustments,7,80484260,I asked for deadlines but I was not given them. ,Not many successes to report unfortunately ,I've not had much success asking for the following: Software to improve accessibility (e.g. screen reader),I watched a film about: a cyber hacker,Not sure what to say,2/14/2019,454
Autistica - Adjustments,7,24052776,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I have more confidence in meetings,Some things which I have tried are: Relaxed obligations to social commitments,My friend told me about another friend who said that:  a mathematic genius,I think there has been enough research on younger populations,2/14/2019,455
Autistica - Adjustments,7,70538701,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I changed jobs and used this app to transfer my reasonable adjustments ,I would like to have more of: A team culture of not eating lunch at desks,My friend told me about another friend who said that:  superior focus,Visualisations are nice,2/14/2019,456
Autistica - Adjustments,7,89804580,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,I use dmy noise cancelling headphones really well,I have tried the following: Small desk lap (since main lamp to bright),I saw a story about a: superior focus,Really enjoying this app,2/14/2019,457
Autistica - Adjustments,7,17191527,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,My typing speed has increased a lot,I would like to have more of: Remote working option,I saw a story about a: difficulty in switching between tasks,I can’t think of any right now,2/14/2019,458
Autistica - Adjustments,7,12248148,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I have reduced the arguments I have with people,Some things which I have tried are: Ear defenders,I read a newspaper article about: superior focus,I can’t think of any right now,2/14/2019,459
Autistica - Adjustments,7,14567809,I asked not to be moved to another team but this was rejected,I managed my anxiety before a big presentation better,I have requested this: Handouts in advance of training/ presentations,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there has been enough research on younger populations,2/14/2019,460
Autistica - Adjustments,7,53779464,I asked for instructions to be written down but they are still provided verbally,I have felt less depressed,"What has really helped is: Maintain consistent job roles, patters and working partners",I watched a film about: low income and employment for autistic people,Really enjoying this app,2/14/2019,461
Autistica - Adjustments,7,97777931,I was reallocated a new desk even though I liked my old desk,My typing speed has increased a lot,Some things which I have tried are: More patience and flexibility from colleagues regarding misunderstandings.,I read a newspaper article about: superior focus,I can’t think of any right now,2/14/2019,462
Autistica - Adjustments,7,99713717,I had to do training on fire and safety even though I completed three months ago,I have more confidence in meetings,Some things which I have tried are: Flexibility to wear comfortable clothing,I saw a story about a: a mathematic genius,I'm finding this app sort of helpful,2/14/2019,463
Autistica - Adjustments,7,93466703,Communication is not happening the way I have requested,I was successful in meeting my deadlines,I have requested this: Avoiding unnecessary metaphorical and idiomatic language.,I saw a story about a: bad parenting,Nope,2/14/2019,464
Autistica - Adjustments,7,37419497,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I changed the way I work and it has led to more prodcutivity,I have tried the following: Communication devices (e.g. a slider on desk to indicate when working from home).,My friend told me about another friend who said that:  excellent autistic creativity,I think there should be more research in to employment opportunities,2/14/2019,465
Autistica - Adjustments,7,35358065,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I changed jobs and used this app to transfer my reasonable adjustments ,What has really helped is: Flexi-time to avoid commuting in rush hour,I saw a story about a: bad parenting,I think there has been enough research on younger populations,2/14/2019,466
Autistica - Adjustments,7,86131995,I don’t like cookies but my team keeps celebrating cookies,I have reduced the arguments I have with people,Examples of good adjustments include: Avoid working in areas with fluorescent strip lighting,I read a newspaper article about: superior focus,I would like to upgrade this app,2/14/2019,467
Autistica - Adjustments,7,57180656,Communication is not happening the way I have requested,I was able to network well this week which I usually struggle with,Examples of good adjustments include: Ability to control temperature,My friend told me about another friend who said that:  difficulty in switching between tasks,I'm finding this app sort of helpful,2/14/2019,468
Autistica - Adjustments,7,62929404,People start working too early in the morning and my request to start later was refused,I enjoyed my work this week,I have requested this: Allocated parking space,I read a newspaper article about: excellent autistic creativity,Visualisations are nice,2/14/2019,469
Autistica - Adjustments,7,30901982,My manager sucks,Not many successes to report unfortunately ,I've not had much success asking for the following: Flexibility to eat lunch separately from colleagues,My friend told me about another friend who said that:  difficulty in switching between tasks,I can’t think of any right now,2/14/2019,470
Autistica - Adjustments,7,93085379,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I was praised by my coworkers but not my manager,"I have requested this: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I watched a film about: excellent autistic creativity,Really enjoying this app,2/14/2019,471
Autistica - Adjustments,7,77431644,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I ate less gluten which is harder than it sounds,Some things which I have tried are: A team culture of not eating lunch at desks,I read a newspaper article about: a cyber hacker,I'm finding this app sort of helpful,2/14/2019,472
Autistica - Adjustments,7,67013133,We had an overnight hackathon and there were not enough vegan options,My typing speed has increased a lot,I've not had much success asking for the following: Flexi-time to avoid commuting in rush hour,I saw a story about a: bad parenting,I'm finding this app sort of helpful,2/14/2019,473
Autistica - Adjustments,7,13838301,I had to do training on fire and safety even though I completed three months ago,I was able to network well this week which I usually struggle with,Examples of good adjustments include: Flexible deadlines,My friend told me about another friend who said that:  difficulty in switching between tasks,Not sure what to say,2/14/2019,474
Autistica - Adjustments,7,66718298,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I haven’t had any success,Some things which I have tried are: Evolving job role based on strengths,I saw a story about a: excellent autistic creativity,Visualisations are nice,2/14/2019,475
Autistica - Adjustments,7,24641611,Not sure what to say,My typing speed has increased a lot,Examples of good adjustments include: More patience and flexibility from colleagues regarding misunderstandings.,My friend told me about another friend who said that:  excellent autistic creativity,I would like to upgrade this app,2/14/2019,476
Autistica - Adjustments,7,67388864,I asked for instructions to be written down but they are still provided verbally,Not many successes to report unfortunately ,Examples of good adjustments include: Reduced overnight stays,I watched a film about: superior focus,I would like to upgrade this app,2/14/2019,477
Autistica - Adjustments,7,25055544,I don’t like socialising but it is compulsory to network as part of my job,I have felt less depressed,Examples of good adjustments include: Ergonomic chair,I read a newspaper article about: excellent autistic creativity,I can’t think of any right now,2/14/2019,478
Autistica - Adjustments,7,24503298,Not sure what to say,I had a meeting with my boss to change the lighting and it was changed,What has really helped is: Visual partitions of workspace (i.e. to minimise distraction and sound),My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be more research in to employment opportunities,2/14/2019,479
Autistica - Adjustments,7,43928283,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I changed the way I work and it has led to more prodcutivity,Some things which I have tried are: Using an internal advocate who can communicate on behalf of the employee,My friend told me about another friend who said that:  excellent autistic creativity,I can’t think of any right now,2/14/2019,480
Autistica - Adjustments,7,19630284,My manager sucks,I have reduced the arguments I have with people,What has really helped is: Evolving job role based on strengths,I read a newspaper article about: superior focus,I'm finding this app sort of helpful,2/14/2019,481
Autistica - Adjustments,7,87042105,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I managed my anxiety before a big presentation better,I've not had much success asking for the following: No role-play on training courses,I watched a film about: a cyber hacker,I would like to upgrade this app,2/14/2019,482
Autistica - Adjustments,7,71593024,Not sure what to say,I haven’t had any success,Some things which I have tried are: Small desk lap (since main lamp to bright),I watched a film about: superior focus,I would like to upgrade this app,2/14/2019,483
Autistica - Adjustments,7,31866214,I don’t like socialising but it is compulsory to network as part of my job,I was praised by my coworkers but not my manager,Examples of good adjustments include: Changing to part time work,I saw a story about a: a cyber hacker,I think there should be more research in to employment opportunities,2/14/2019,484
Autistica - Adjustments,7,97162166,People start working too early in the morning and my request to start later was refused,I had a meeting with my boss to change the lighting and it was changed,Some things which I have tried are: Communication devices (e.g. a slider on desk to indicate when working from home).,My friend told me about another friend who said that:  excellent autistic creativity,I can’t think of any right now,2/14/2019,485
Autistica - Adjustments,7,41273901,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I enjoyed my work this week,What has really helped is: Ability to control temperature,I read a newspaper article about: a cyber hacker,I think there should be more research in to employment opportunities,2/14/2019,486
Autistica - Adjustments,7,43440948,People start working too early in the morning and my request to start later was refused,I had a meeting with my boss to change the lighting and it was changed,I would like to have more of: Written communication preference over verbal communication,My friend told me about another friend who said that:  excellent autistic creativity,I think there should be more research in to employment opportunities,2/14/2019,487
Autistica - Adjustments,7,77705205,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I feel really depressed that I have only been told that I have failed,I've not had much success asking for the following: Minimise meeting attendance,I watched a film about: a cyber hacker,I can’t think of any right now,2/14/2019,488
Autistica - Adjustments,7,58358243,I asked for deadlines but I was not given them. ,I was able to use text instead of speech to interact in the meeting,Here are some things that have helped Minimising public-facing responsibilities,I saw a story about a: a mathematic genius,I think there should be better pathways to requesting adjustments,2/14/2019,489
Autistica - Adjustments,7,47815963,I asked for deadlines but I was not given them. ,I managed my anxiety before a big presentation better,I've not had much success asking for the following: Ergonomic chair,I read a newspaper article about: excellent autistic creativity,Visualisations are nice,2/14/2019,490
Autistica - Adjustments,7,69828639,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I have felt less depressed,I would like to have more of: Tinted glasses (to minimise overpowering lights),I saw a story about a: a mathematic genius,I can’t think of any right now,2/14/2019,491
Autistica - Adjustments,7,38868666,People start working too early in the morning and my request to start later was refused,I have more confidence in meetings,What has really helped is: Extra breaks to manage cognitive overload and processing speeds,I watched a film about: excellent autistic creativity,I'm finding this app sort of helpful,2/14/2019,492
Autistica - Adjustments,7,72888018,Sometime people misread my facial expressions,I worked in the quite room and that was very productive,Some things which I have tried are: Tinted glasses (to minimise overpowering lights),My friend told me about another friend who said that:  superior focus,I think there should be better pathways to requesting adjustments,2/14/2019,493
Autistica - Adjustments,7,43522829,I had to do training on fire and safety even though I completed three months ago,I enjoyed my work this week,I have tried the following: Colleagues refrain from wearing strong perfumes if asked,I saw a story about a: excellent autistic creativity,I would like to upgrade this app,2/14/2019,494
Autistica - Adjustments,7,41811454,Not sure what to say,It's so frustrating because I feel that I am close to success but it never really happens,"I've not had much success asking for the following: Online access to further information about sources of support for job role, mental health and wellbeing",I read a newspaper article about: superior focus,I think there has been enough research on younger populations,2/14/2019,495
Autistica - Adjustments,7,40690745,We had an overnight hackathon and there were not enough vegan options,I changed jobs and used this app to transfer my reasonable adjustments ,I've not had much success asking for the following: Advanced notice of changes,I saw a story about a: excellent autistic creativity,I can’t think of any right now,2/14/2019,496
Autistica - Adjustments,7,25057429,We had an overnight hackathon and there were not enough vegan options,I feel really depressed that I have only been told that I have failed,I would like to have more of: Minimising phone-call meetings,I saw a story about a: a mathematic genius,Visualisations are nice,2/14/2019,497
Autistica - Adjustments,7,39249976,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I have felt less depressed,I have tried the following: Evolving job role based on strengths,I read a newspaper article about: difficulty in switching between tasks,I'm finding this app sort of helpful,2/14/2019,498
Autistica - Adjustments,7,63410382,People start working too early in the morning and my request to start later was refused,I worked in the quite room and that was very productive,Here are some things that have helped No overnight stays,I read a newspaper article about: bad parenting,Visualisations are nice,2/14/2019,499
Autistica - Adjustments,7,61657100,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I was successufl in extending my contract,I have requested this: Minimise meeting attendance,I read a newspaper article about: low income and employment for autistic people,Visualisations are nice,2/14/2019,500
Autistica - Adjustments,7,22222222,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I feel really depressed that I have only been told that I have failed,I would like to have more of: Consistent job duties,I saw a story about a: low income and employment for autistic people,Not sure what to say,02/28/2019,501
Autistica - Adjustments,7,11111111,I was reallocated a new desk even though I liked my old desk,I was able to use text instead of speech to interact in the meeting,"I have requested this: Online access to further information about sources of support for job role, mental health and wellbeing",My friend told me about another friend who said that:  bad parenting,I would like to upgrade this app,02/28/2019,502
Autistica - Adjustments,7,12077101,I don’t like cookies but my team keeps celebrating cookies,I taught my coworkers to use this app,What has really helped is: Ear plugs,My friend told me about another friend who said that:  a mathematic genius,I can’t think of any right now,02/28/2019,503
Autistica - Adjustments,7,38961843,Sometime people misread my facial expressions,It's so frustrating because I feel that I am close to success but it never really happens,What has really helped is: Widespread training on neurodiversity,I read a newspaper article about: a mathematic genius,I think there should be better pathways to requesting adjustments,02/28/2019,504
Autistica - Adjustments,7,67611589,I was reallocated a new desk even though I liked my old desk,I was successful in meeting my deadlines,I would like to have more of: Colleagues refrain from wearing strong perfumes if asked,My friend told me about another friend who said that:  low income and employment for autistic people,Nope,02/28/2019,505
Autistica - Adjustments,7,32500162,I'm always asked to shake hands of clients but I don’t like to touch other people,My typing speed has increased a lot,Some things which I have tried are: Minimise meeting attendance,My friend told me about another friend who said that:  difficulty in switching between tasks,I'm finding this app sort of helpful,02/28/2019,506
Autistica - Adjustments,7,90705766,We had an overnight hackathon and there were not enough vegan options,I have reduced the arguments I have with people,Here are some things that have helped Ergonomic chair,I watched a film about: superior focus,I think there has been enough research on younger populations,02/28/2019,507
Autistica - Adjustments,7,46465154,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I managed my anxiety before a big presentation better,What has really helped is: Flexi-time to avoid commuting in rush hour,I saw a story about a: excellent autistic creativity,I think there should be better pathways to requesting adjustments,02/28/2019,508
Autistica - Adjustments,7,36480781,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,I was able to network well this week which I usually struggle with,Here are some things that have helped Clear signage throughout building and designated quiet areas,I saw a story about a: excellent autistic creativity,I can’t think of any right now,02/28/2019,509
Autistica - Adjustments,7,86004302,My manager often criticises me,My typing speed has increased a lot,I would like to have more of: Weekly plan with manager,I read a newspaper article about: difficulty in switching between tasks,Really enjoying this app,02/28/2019,510
Autistica - Adjustments,7,74046800,I don’t like socialising but it is compulsory to network as part of my job,I was successful in meeting my deadlines,Examples of good adjustments include: Ergonomic chair,I saw a story about a: bad parenting,I think there has been enough research on younger populations,02/28/2019,511
Autistica - Adjustments,7,67512682,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I was successful in meeting my deadlines,Here are some things that have helped Written communication preference over verbal communication,I read a newspaper article about: a mathematic genius,I'm finding this app sort of helpful,02/28/2019,512
Autistica - Adjustments,7,87436666,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,Not many successes to report unfortunately ,I would like to have more of: Maximise personal space where possible (e.g. spaced out seating in meetings),I read a newspaper article about: difficulty in switching between tasks,I would like to upgrade this app,02/28/2019,513
Autistica - Adjustments,7,28755653,I asked for deadlines but I was not given them. ,I changed the way I work and it has led to more prodcutivity,I have tried the following: Flexible deadlines,I read a newspaper article about: a cyber hacker,Not sure what to say,02/28/2019,514
Autistica - Adjustments,7,66722819,I asked not to be moved to another team but this was rejected,I worked in the quite room and that was very productive,What has really helped is: Minimise meeting attendance,I saw a story about a: a mathematic genius,Really enjoying this app,02/28/2019,515
Autistica - Adjustments,7,65438804,I don’t like socialising but it is compulsory to network as part of my job,I was successful in meeting my deadlines,I have requested this: Work away from fire doors (which slam shut),I saw a story about a: excellent autistic creativity,I'm finding this app sort of helpful,02/28/2019,516
Autistica - Adjustments,7,15938146,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have tried the following: Written questions for job interviews and circulated ahead of time,I watched a film about: difficulty in switching between tasks,Really enjoying this app,02/28/2019,517
Autistica - Adjustments,7,37603401,People start working too early in the morning and my request to start later was refused,I use dmy noise cancelling headphones really well,I would like to have more of: Extra breaks to manage cognitive overload and processing speeds,My friend told me about another friend who said that:  low income and employment for autistic people,I think there has been enough research on younger populations,02/28/2019,518
Autistica - Adjustments,7,23337145,My manager sucks,I was able to network well this week which I usually struggle with,I've not had much success asking for the following: Avoiding unnecessary metaphorical and idiomatic language.,My friend told me about another friend who said that:  low income and employment for autistic people,Visualisations are nice,02/28/2019,519
Autistica - Adjustments,7,99599196,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I ate less gluten which is harder than it sounds,What has really helped is: Changing to part time work,I watched a film about: superior focus,I would like to upgrade this app,02/28/2019,520
Autistica - Adjustments,7,25718877,I asked not to be moved to another team but this was rejected,I have felt less depressed,Here are some things that have helped Longer time to familiarise with new routine when there are changes,I watched a film about: excellent autistic creativity,Visualisations are nice,02/28/2019,521
Autistica - Adjustments,7,97909632,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I was able to network well this week which I usually struggle with,I have requested this: Blue screen filter for computer screen,My friend told me about another friend who said that:  a mathematic genius,Really enjoying this app,02/28/2019,522
Autistica - Adjustments,7,40268226,Communication is not happening the way I have requested,I managed my anxiety before a big presentation better,"I've not had much success asking for the following: Maintain consistent job roles, patters and working partners",I watched a film about: low income and employment for autistic people,I think there should be more research in to employment opportunities,02/28/2019,523
Autistica - Adjustments,7,63985686,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I was successufl in extending my contract,What has really helped is: Fast response to malfunctioning equipment (e.g. flashing light),I read a newspaper article about: superior focus,I can’t think of any right now,02/28/2019,524
Autistica - Adjustments,7,63237915,I was reallocated a new desk even though I liked my old desk,I have more confidence in meetings,Examples of good adjustments include: Software to improve accessibility (e.g. screen reader),My friend told me about another friend who said that:  low income and employment for autistic people,I can’t think of any right now,02/28/2019,525
Autistica - Adjustments,7,50544037,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,What has really helped is: Specifying clear action points in emails so that recipients understand what is being asked of them,I read a newspaper article about: low income and employment for autistic people,I think there should be better pathways to requesting adjustments,02/28/2019,526
Autistica - Adjustments,7,14286843,I asked for instructions to be written down but they are still provided verbally,I have felt less depressed,I have requested this: Allocated parking space,My friend told me about another friend who said that:  a mathematic genius,Not sure what to say,02/28/2019,527
Autistica - Adjustments,7,53175760,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I feel really depressed that I have only been told that I have failed,Some things which I have tried are: Specifying clear action points in emails so that recipients understand what is being asked of them,I saw a story about a: superior focus,Not sure what to say,02/28/2019,528
Autistica - Adjustments,7,56361261,Not sure what to say,I had a meeting with my boss to change the lighting and it was changed,Examples of good adjustments include: Weekly plan with manager,My friend told me about another friend who said that:  excellent autistic creativity,I can’t think of any right now,02/28/2019,529
Autistica - Adjustments,7,66411825,I don’t like cookies but my team keeps celebrating cookies,I have reduced the arguments I have with people,Some things which I have tried are: Using an internal advocate who can communicate on behalf of the employee,I watched a film about: a cyber hacker,I'm finding this app sort of helpful,02/28/2019,530
Autistica - Adjustments,7,34060153,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I taught my coworkers to use this app,What has really helped is: Designated quiet space,I watched a film about: bad parenting,I think there has been enough research on younger populations,02/28/2019,531
Autistica - Adjustments,7,11168511,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I managed my anxiety before a big presentation better,I would like to have more of: Visual partitions of workspace (i.e. to minimise distraction and sound),I watched a film about: bad parenting,I think there should be better pathways to requesting adjustments,02/28/2019,532
Autistica - Adjustments,7,85920205,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I changed the way I work and it has led to more prodcutivity,I have tried the following: Written communication preference over verbal communication,I read a newspaper article about: a mathematic genius,I think there has been enough research on younger populations,02/28/2019,533
Autistica - Adjustments,7,83766303,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I changed jobs and used this app to transfer my reasonable adjustments ,I have tried the following: Maximise personal space where possible (e.g. spaced out seating in meetings),My friend told me about another friend who said that:  a cyber hacker,I'm finding this app sort of helpful,02/28/2019,534
Autistica - Adjustments,7,64793738,I asked for deadlines but I was not given them. ,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I've not had much success asking for the following: Site blocker software to avoid internet distractions,My friend told me about another friend who said that:  low income and employment for autistic people,Not sure what to say,02/28/2019,535
Autistica - Adjustments,7,59096037,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I have successfully managed a team to complete a project,I have requested this: Noise-cancelling headphones,I watched a film about: a mathematic genius,Visualisations are nice,02/28/2019,536
Autistica - Adjustments,7,77773077,People start working too early in the morning and my request to start later was refused,I have successfully managed a team to complete a project,I've not had much success asking for the following: Ability to control temperature,I saw a story about a: superior focus,I think there has been enough research on younger populations,02/28/2019,537
Autistica - Adjustments,7,47375033,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I changed jobs and used this app to transfer my reasonable adjustments ,Here are some things that have helped More patience and flexibility from colleagues regarding misunderstandings.,I read a newspaper article about: superior focus,I think there should be more research in to employment opportunities,02/28/2019,538
Autistica - Adjustments,7,39847852,I was reallocated a new desk even though I liked my old desk,I was successful in meeting my deadlines,What has really helped is: Training staff on neurodiversity and specific needs,I watched a film about: a mathematic genius,I can’t think of any right now,02/28/2019,539
Autistica - Adjustments,7,68971632,I asked for deadlines but I was not given them. ,I was able to network well this week which I usually struggle with,I have tried the following: Clear signage throughout building and designated quiet areas,My friend told me about another friend who said that:  excellent autistic creativity,Not sure what to say,02/28/2019,540
Autistica - Adjustments,7,22090963,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I enjoyed my work this week,I have tried the following: Flexi-time to avoid commuting in rush hour,I read a newspaper article about: superior focus,I can’t think of any right now,02/28/2019,541
Autistica - Adjustments,7,60377624,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,I feel really depressed that I have only been told that I have failed,I have requested this: Extra time meeting with managers,My friend told me about another friend who said that:  a mathematic genius,I think there has been enough research on younger populations,02/28/2019,542
Autistica - Adjustments,7,30738880,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I was successful in meeting my deadlines,I've not had much success asking for the following: Access to senior mentoring,I read a newspaper article about: a mathematic genius,I would like to upgrade this app,02/28/2019,543
Autistica - Adjustments,7,86589369,My manager often criticises me,I haven’t had any success,Some things which I have tried are: Written communication preference over verbal communication,I read a newspaper article about: difficulty in switching between tasks,I can’t think of any right now,02/28/2019,544
Autistica - Adjustments,7,66155821,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I haven’t had any success,Some things which I have tried are: Ability to control temperature,I watched a film about: a cyber hacker,Really enjoying this app,02/28/2019,545
Autistica - Adjustments,7,61677296,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,Not many successes to report unfortunately ,Examples of good adjustments include: Allocated desk (i.e. in otherwise hot-desking environment),I saw a story about a: bad parenting,I think there should be better pathways to requesting adjustments,02/28/2019,546
Autistica - Adjustments,7,56419454,I asked for deadlines but I was not given them. ,I worked in the quite room and that was very productive,Here are some things that have helped A team culture of not eating lunch at desks,I saw a story about a: excellent autistic creativity,Nope,02/28/2019,547
Autistica - Adjustments,7,86397034,Sometime people misread my facial expressions,I was successufl in extending my contract,What has really helped is: Written communication preference over verbal communication,I read a newspaper article about: a cyber hacker,Really enjoying this app,02/28/2019,548
Autistica - Adjustments,7,41455969,We had an overnight hackathon and there were not enough vegan options,I changed jobs and used this app to transfer my reasonable adjustments ,Some things which I have tried are: Avoiding negative language in the workplace (e.g. autism as a tragedy).,I saw a story about a: a mathematic genius,I think there should be more research in to employment opportunities,02/28/2019,549
Autistica - Adjustments,7,23394144,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I haven’t had any success,Some things which I have tried are: More time for tasks,I saw a story about a: superior focus,I can’t think of any right now,02/28/2019,550
Autistica - Adjustments,7,21326904,Sometime people misread my facial expressions,I worked in the quite room and that was very productive,I would like to have more of: Ergonomic chair,I watched a film about: excellent autistic creativity,I would like to upgrade this app,02/28/2019,551
Autistica - Adjustments,7,44980497,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I feel really depressed that I have only been told that I have failed,I've not had much success asking for the following: Relaxed obligations to social commitments,I saw a story about a: superior focus,I'm finding this app sort of helpful,02/28/2019,552
Autistica - Adjustments,7,38982647,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I was successufl in extending my contract,I would like to have more of: Allocated parking space,I read a newspaper article about: difficulty in switching between tasks,Visualisations are nice,02/28/2019,553
Autistica - Adjustments,7,80484260,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I changed jobs and used this app to transfer my reasonable adjustments ,What has really helped is: Evolving job role based on strengths,I saw a story about a: excellent autistic creativity,I think there should be better pathways to requesting adjustments,02/28/2019,554
Autistica - Adjustments,7,24052776,People start working too early in the morning and my request to start later was refused,I have successfully managed a team to complete a project,What has really helped is: Longer time to familiarise with new routine when there are changes,My friend told me about another friend who said that:  superior focus,Visualisations are nice,02/28/2019,555
Autistica - Adjustments,7,70538701,I don’t like socialising but it is compulsory to network as part of my job,I have more confidence in meetings,I've not had much success asking for the following: Allocated desk (i.e. in otherwise hot-desking environment),I watched a film about: low income and employment for autistic people,I would like to upgrade this app,02/28/2019,556
Autistica - Adjustments,7,89804580,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I was able to use text instead of speech to interact in the meeting,I have requested this: Minimise meeting attendance,I saw a story about a: superior focus,I would like to upgrade this app,02/28/2019,557
Autistica - Adjustments,7,17191527,Sometime people misread my facial expressions,I enjoyed my work this week,Here are some things that have helped Blue screen filter for computer screen,My friend told me about another friend who said that:  a cyber hacker,I'm finding this app sort of helpful,02/28/2019,558
Autistica - Adjustments,7,12248148,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,I changed the way I work and it has led to more prodcutivity,I have requested this: Access to other job opportunities within the company,I watched a film about: excellent autistic creativity,Really enjoying this app,02/28/2019,559
